x [mm], y [mm], u [m/s], v [m/s]
-1.950000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.850000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.750000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.650000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.550000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.450000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.350000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.250000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.150000000000000000e+02, -9.500000000000000000e+01, nan, nan
-1.050000000000000000e+02, -9.500000000000000000e+01, nan, nan
-9.500000000000000000e+01, -9.500000000000000000e+01, 9.045248985290527344e+00, -3.172015547752380371e-01
-8.500000000000000000e+01, -9.500000000000000000e+01, 9.085188865661621094e+00, -2.947136759757995605e-01
-7.500000000000000000e+01, -9.500000000000000000e+01, 9.105072975158691406e+00, -2.305366545915603638e-01
-6.500000000000000000e+01, -9.500000000000000000e+01, 9.336349487304687500e+00, -8.258560299873352051e-02
-5.500000000000000000e+01, -9.500000000000000000e+01, 1.003102111816406250e+01, 4.768717288970947266e-02
-4.500000000000000000e+01, -9.500000000000000000e+01, 1.063468265533447266e+01, 2.374188750982284546e-01
-3.500000000000000000e+01, -9.500000000000000000e+01, 1.109484004974365234e+01, 3.749537169933319092e-01
-2.500000000000000000e+01, -9.500000000000000000e+01, 1.150961685180664062e+01, 4.968238472938537598e-01
-1.500000000000000000e+01, -9.500000000000000000e+01, 1.146264266967773438e+01, 4.460231959819793701e-01
-5.000000000000000000e+00, -9.500000000000000000e+01, 1.067337131500244141e+01, 2.893906831741333008e-01
5.000000000000000000e+00, -9.500000000000000000e+01, 9.836966514587402344e+00, 1.171383410692214966e-01
1.500000000000000000e+01, -9.500000000000000000e+01, 9.389978408813476562e+00, 5.090141296386718750e-02
2.500000000000000000e+01, -9.500000000000000000e+01, 9.145714759826660156e+00, 1.034514009952545166e-01
3.500000000000000000e+01, -9.500000000000000000e+01, 8.983800888061523438e+00, 1.574214398860931396e-01
4.500000000000000000e+01, -9.500000000000000000e+01, 8.968903541564941406e+00, 3.602829575538635254e-02
